,Sample Name,Corrected 29N2 g-1,Corrected 30N2 g-1,Del Value
1,Gcrew_WC_CoreC_T6_B,0.064397625,1.284444567,38.844
2,Gcrew_WC_CoreC_T6_A,0.029675899,0.652926874,18.887
3,Gcrew_UP_CoreC_T6_B,0.17883323,0.495593503,135.787
4,Gcrew_UP_CoreC_T6_A,0.224991013,0.519771571,162.917
5,Gcrew_WC_CoreC_T5_B,0.21409844,5.098104789,107.429
6,Gcrew_WC_CoreC_T5_A,0.067111859,1.612844288,46.895
7,Gcrew_WC_CoreC_T4_B,0.00131363,0.215429567,0.994
8,Gcrew_WC_CoreC_T4_A,0.031169283,0.373425442,18.793
9,Gcrew_WC_CoreC_T3_B,0.012855693,0.397910379,8.549
10,Gcrew_WC_CoreC_T3_A,0.135893796,3.8475905,83.548
11,Gcrew_WC_CoreC_T2_B,0.189697849,6.447445286,129.04
12,Gcrew_WC_CoreC_T2_A,0.231060668,5.439154332,151.87
13,Gcrew_WC_CoreC_T1_B,0.00412855,0.191758351,3.207
14,Gcrew_WC_CoreC_T1_A,0.021336456,0.385850817,14.275
15,Gcrew_WC_CoreC_T0_B,0.010215096,0.190152088,4.661
16,Gcrew_WC_CoreC_T0_A,0.0523689,0.396992397,25.427
17,Gcrew_UP_CoreC_T6_B,0.516289138,5.512061574,333.478
18,Gcrew_UP_CoreC_T6_A,0.526031539,4.212378084,350.693
19,Gcrew_UP_CoreC_T5_B,0.595147272,5.840175605,401.54
20,Gcrew_UP_CoreC_T5_A,0.636212748,5.415141602,449.129
21,Gcrew_UP_CoreC_T4_B,0.531748448,4.382424819,352.261
22,Gcrew_UP_CoreC_T4_A,0.298516879,2.657490267,199.392
23,Gcrew_UP_CoreC_T3_B,0.283211121,2.681570643,176.009
24,Gcrew_UP_CoreC_T3_A,0.466483593,5.365887351,265.305
25,Gcrew_UP_CoreC_T2_B,0.324949888,3.252667877,213.511
26,Gcrew_UP_CoreC_T2_A,0.088669867,0.859775557,62.058
27,Gcrew_UP_CoreC_T1_B,0.249634232,2.256678992,170.309
28,Gcrew_UP_CoreC_T1_A,0.456823792,3.969812087,353.089
29,Gcrew_UP_CoreC_T0_B,-0.006803849,0.118475116,-4.069
30,Gcrew_UP_CoreC_T0_A,-0.004550521,0.130537798,-2.588
31,Gcrew_WC_CoreB_T5_B,0.186882679,0.34956508,128.194
32,Gcrew_WC_CoreB_T5_A,0.176385923,0.361800817,125.102
33,Gcrew_WC_CoreB_T4_B,0.067844725,1.089323619,32.817
34,Gcrew_WC_CoreB_T4_A,0.090883421,0.276897226,67.93
35,Gcrew_WC_CoreB_T3_B,0.068600137,0.191556399,45.62
36,Gcrew_WC_CoreB_T3_A,0.09759229,1.212069955,69.051
37,Gcrew_WC_CoreB_T2_B,0.041571638,0.179656921,30.417
38,Gcrew_WC_CoreB_T2_A,0.045394538,0.167604912,34.462
39,Gcrew_WC_CoreB_T1_B,0.033573798,0.118982461,25.15
40,Gcrew_WC_CoreB_T1_A,0.030642283,0.106792368,22.565
41,Gcrew_WC_CoreB_T0_B,0.001424153,0.094045346,0.945
42,Gcrew_WC_CoreB_T0_A,-0.006818021,0.11787993,-3.405
43,Gcrew_UP_CoreB_T6_B,0.233747015,0.204073884,178.408
44,Gcrew_UP_CoreB_T6_A,0.256748249,0.216288441,201.496
45,Gcrew_UP_CoreB_T5_B,0.214932923,0.179799766,165.458
46,Gcrew_UP_CoreB_T5_A,0.209368482,0.167654497,161.321
47,Gcrew_UP_CoreB_T4_B,0.108752977,0.155486242,83.18
48,Gcrew_UP_CoreB_T4_A,0.134513016,0.143152976,95.519
49,Gcrew_UP_CoreB_T3_B,0.04559147,0.45902733,33.431
50,Gcrew_UP_CoreB_T3_A,0.088406942,0.130941046,61.32
51,Gcrew_UP_CoreB_T2_B,0.052985732,0.130607085,32.742
52,Gcrew_UP_CoreB_T2_A,0.056111631,0.106835386,41.91
53,Gcrew_UP_CoreB_T1_B,0.02255379,0.130335188,12.863
54,Gcrew_UP_CoreB_T1_A,0.033169931,0.106652972,23.142
55,Gcrew_UP_CoreB_T0_B,0.000668693,0.130236674,0.5
56,Gcrew_UP_CoreB_T0_A,-0.002484259,0.082380002,-1.631
57,Gcrew_TR_CoreC_T1_B,0.116557989,17.74490043,104.707
58,Gcrew_TR_CoreC_T1_A,0.108661349,16.88249259,100.671
59,Gcrew_TR_CoreC_T0_B,0.024318448,0.215808188,16.113
60,Gcrew_TR_CoreC_T0_A,0.03380924,0.179263031,21.474
