"","Sample Name","Peak #","Area 28","Area 29","Area 30","Del Value","ID2","samplemass","atom15Nexcess","spikeconc","spikevol","mass15Nadded","porewaterNO3","porewatervol","massambient","tracerdilratio","Fn","Fn1","Fn2","rawN28mass","rawN29mass","rawN30mass","blank29mass","blank30mass","correct29mass","correct30mass","correct29perg","correct30perg","MF15N","MFexcess","N2Nmassnmoles","excess29Nperg","excessN29pergperlp","excessN30pergperlp","tracerdilcorrectedN29","tracerdilcorrectedN30","corrected29N2","corrected30N2"
"1","MSM_TR_CoreB_T0_A",5,13.163,0.11,0.037,142.315,"MSM",1,99.9,1,0.1,100,0,0,0,99.9,0.999,1.001001001001,1.00200300400501,4.64144681070064,0.0387735896720884,0.0130466863230636,0.0341282511190419,6.27356927671313e-05,0.0046453385530465,0.0129839506302965,0.0046453385530465,0.0129839506302965,0.00418215720365873,0.000519124303658733,4.68923368128793,0.00483070161335442,0.00483070161335442,0.0129839506302965,0.0048095172354341,0.0130099575354097,0.180837848052322,0.489174403331406
"2","MSM_TR_CoreC_T0_B",5,18.066,0.153,0.048,151.158,"MSM",1,99.9,1,0.1,100,0,0,0,99.9,0.999,1.001001001001,1.00200300400501,6.37030905432787,0.0539305383620867,0.016925430905596,0.0468404607396955,8.61037017040944e-05,0.00709007762239117,0.0168393272038919,0.00709007762239117,0.0168393272038919,0.00421439608340417,0.00055136318340417,6.43562972622739,0.0070412548940221,0.0070412548940221,0.0168393272038919,0.00701455708433187,0.0168730564437229,0.263747346370878,0.634426922283982
"3","MSM_TR_CoreC_T0_A",5,11.165,0.085,0.01,36.035,"MSM",1,99.9,1,0.1,100,0,0,0,99.9,0.999,1.001001001001,1.00200300400501,3.93692574956109,0.0299614102011593,0.00352613143866584,0.0289479543982453,5.32130980585749e-05,0.00101345580291393,0.00347291834060726,0.00101345580291393,0.00347291834060726,0.00379452938081919,0.000131496480819195,3.96700009401218,0.00103577179654923,0.00103577179654923,0.00347291834060726,0.00102984885593448,0.00347987460995256,0.0387223169831366,0.130843285334216
"4","MSM_TR_CoreB_T0_B",5,11.21,0.083,0.009,3.137,"MSM",1,99.9,1,0.1,100,0,0,0,99.9,0.999,1.001001001001,1.00200300400501,3.9527933410282,0.0292564358434849,0.00317351829479925,0.0290646277478128,5.34275709123712e-05,0.000191808095672097,0.00312009072388688,0.000191808095672097,0.00312009072388688,0.00367448157054669,1.14486705466879e-05,3.98179707482466,9.07636685765247e-05,9.07636685765247e-05,0.00312009072388688,8.46018425434195e-05,0.00312634027810281,0.00318102927963257,0.117550394456666
"5","MSM_TR_CoreA_T0_B",5,13.598,0.1,0.01,5.593,"MSM",1,99.9,1,0.1,100,0,0,0,99.9,0.999,1.001001001001,1.00200300400501,4.79483352821601,0.0352487178837168,0.00352613143866584,0.0352560934981944,6.4808930353829e-05,-7.37561447758384e-06,0.00346132250831201,-7.37561447758384e-06,0.00346132250831201,0.00368344473848061,2.04118384806141e-05,4.82945268993952,0.000196023064182024,0.000196023064182024,0.00346132250831201,0.000189282772363173,0.00346825555115877,0.00711703224085531,0.13040640872357
"6","MSM_TR_CoreA_T0_A",5,16.903,0.125,0.011,3.425,"MSM",1,99.9,1,0.1,100,0,0,0,99.9,0.999,1.001001001001,1.00200300400501,5.96021996818908,0.044060897354646,0.00387874458253242,0.0438251028386512,8.0560769949314e-05,0.000235794515994751,0.00379818381258311,0.000235794515994751,0.00379818381258311,0.00367553263441669,1.24997344166911e-05,6.00299419199587,0.000149362458709119,0.000149362458709119,0.00379818381258311,0.000141900387499857,0.00380579158997146,0.00533545456999463,0.143097763782927
