"","Sample Name","Peak #","Area 28","Area 29","Area 30","Del Value","ID2","samplemass","atom15Nexcess","spikeconc","spikevol","mass15Nadded","porewaterNO3","porewatervol","massambient","tracerdilratio","Fn","Fn1","Fn2","rawN28mass","rawN29mass","rawN30mass","blank29mass","blank30mass","correct29mass","correct30mass","correct29perg","correct30perg","MF15N","MFexcess","N2Nmassnmoles","excess29Nperg","excessN29pergperlp","excessN30pergperlp","tracerdilcorrectedN29","tracerdilcorrectedN30","corrected29N2","corrected30N2"
"1","MSM_WC_CoreC_T6_B",5,12.028,0.108,0.379,220.652,"MSM",1,99.9,1,0.1,100,0,0,0,99.9,0.999,1.001001001001,1.00200300400501,4.24123089258583,0.0380686153144141,0.133640381525435,0.0311854899688397,5.73262107880464e-05,0.00688312534557445,0.133583055314647,0.00688312534557445,0.133583055314647,0.00446767736132979,0.000804644461329793,4.40914797305173,0.00703818877714749,0.00703818877714749,0.133583055314647,0.0067775327657398,0.133850622709443,0.254835231991816,5.03278341387507
"2","MSM_WC_CoreC_T6_A",5,12.276,0.098,0.249,90.646,"MSM",1,99.9,1,0.1,100,0,0,0,99.9,0.999,1.001001001001,1.00200300400501,4.32867895222678,0.0345437435260424,0.0878006728227793,0.0318284897620116,5.8508194515635e-05,0.00271525376403083,0.0877421646282637,0.00271525376403083,0.0877421646282637,0.00399374605573966,0.000330713155739655,4.44719735228381,0.00291926145862984,0.00291926145862984,0.0877421646282637,0.00274634781720129,0.087917912535422,0.103262677926769,3.30571351133187
"3","MSM_WC_CoreC_T5_B",5,12.052,0.101,0.383,143.112,"MSM",1,99.9,1,0.1,100,0,0,0,99.9,0.999,1.001001001001,1.00200300400501,4.24969360803495,0.0356012050625539,0.135050834100901,0.0312477157552757,5.74405963100711e-05,0.00435348930727828,0.134993393504591,0.00435348930727828,0.134993393504591,0.00418506290806277,0.00052203000806277,4.41654646345796,0.00457523938646081,0.00457523938646081,0.134993393504591,0.00430929163404165,0.13526378581243,0.162029365439966,5.08591834654738
"4","MSM_WC_CoreC_T5_A",5,13.255,0.108,0.295,110.641,"MSM",1,99.9,1,0.1,100,0,0,0,99.9,0.999,1.001001001001,1.00200300400501,4.67388721992228,0.0380686153144141,0.104020877440642,0.0343667833003799,6.31741706015593e-05,0.00370183201403418,0.103957703270041,0.00370183201403418,0.103957703270041,0.00406666633320651,0.000403633433206508,4.81183723659133,0.00385472553909779,0.00385472553909779,0.103957703270041,0.00365025226128896,0.104165930966042,0.137249485024465,3.91663900432317
"5","MSM_WC_CoreC_T4_B",5,13.29,0.11,0.386,126.132,"MSM",1,99.9,1,0.1,100,0,0,0,99.9,0.999,1.001001001001,1.00200300400501,4.68622867995225,0.0387735896720884,0.136108673532501,0.0344575292389324,6.33409828211787e-05,0.00431606043315603,0.13604533254968,0.00431606043315603,0.13604533254968,0.00412315351762196,0.000460120617621958,4.85693279716269,0.00443506633340503,0.00443506633340503,0.13604533254968,0.00416687017545303,0.136317831895639,0.156674318597034,5.12555047927604
"6","MSM_WC_CoreC_T4_A",5,12.824,0.103,0.206,97.393,"MSM",1,99.9,1,0.1,100,0,0,0,99.9,0.999,1.001001001001,1.00200300400501,4.52191095498177,0.0363061794202283,0.0726383076365162,0.0332493118856335,6.11199972685324e-05,0.00305686753459476,0.0725771876392477,0.00305686753459476,0.0725771876392477,0.00401835305643617,0.00035532015643617,4.62687497643534,0.00326308936475916,0.00326308936475916,0.0725771876392477,0.00312091060040613,0.0727225600367611,0.117346238575271,2.73436825738222
"7","MSM_WC_CoreC_T3_B",5,13.903,0.112,0.289,97.286,"MSM",1,99.9,1,0.1,100,0,0,0,99.9,0.999,1.001001001001,1.00200300400501,4.90238053704862,0.0394785640297628,0.101905198577443,0.0360468795341518,6.62625796962263e-05,0.00343168449561099,0.101838935997746,0.00343168449561099,0.101838935997746,0.00401796282595487,0.00035492992595487,5.03942889384993,0.00355014027770186,0.00355014027770186,0.101838935997746,0.00334960813208473,0.102042919794415,0.125945265766386,3.83681378427002
"8","MSM_WC_CoreC_T3_A",5,13.909,0.116,0.325,135.839,"MSM",1,99.9,1,0.1,100,0,0,0,99.9,0.999,1.001001001001,1.00200300400501,4.9044962159109,0.0408885127451115,0.11459927175664,0.0360624359807608,6.62911760767325e-05,0.00482607676435066,0.114532980580563,0.00482607676435066,0.114532980580563,0.00415854635950754,0.000495513459507537,5.05563511093026,0.00497141248362533,0.00497141248362533,0.114532980580563,0.00474686409129911,0.114762390599371,0.178482089832847,4.31506588653635
"9","MSM_WC_CoreC_T2_B",5,13.375,0.104,0.162,55.044,"MSM",1,99.9,1,0.1,100,0,0,0,99.9,0.999,1.001001001001,1.00200300400501,4.7162007971679,0.0366586665990654,0.0571233293063865,0.0346779122325599,6.37460982116828e-05,0.00198075436650554,0.0570595832081748,0.00198075436650554,0.0570595832081748,0.00386388177374038,0.000200848873740382,4.80584798245294,0.00191628152135849,0.00191628152135849,0.0570595832081748,0.00180385197351585,0.0571738737818648,0.0678248342041961,2.14973765419812
"10","MSM_WC_CoreC_T2_A",5,18.415,0.142,0.276,53.232,"MSM",1,99.9,1,0.1,100,0,0,0,99.9,0.999,1.001001001001,1.00200300400501,6.49337104148388,0.0500531793948778,0.0973212277071771,0.0477453273841189,8.77670578368703e-05,0.00230785201075889,0.0972334606493402,0.00230785201075889,0.0972334606493402,0.00385727129336886,0.00019423839336886,6.6350366581289,0.00255860708967325,0.00255860708967325,0.0972334606493402,0.00236631181861032,0.0974282196604414,0.088973324379748,3.6633010592326
