,Sample Name,Corrected 29N2 g-1,Corrected 30N2 g-1,Del Value
1,SWH_WC_CoreC_T6_B,0.241517501,10.10733983,311.401
2,SWH_WC_CoreC_T6_A,0.088620013,3.440741981,101.319
3,SWH_WC_CoreC_T5_B,0.142833154,5.025595969,185.113
4,SWH_WC_CoreC_T5_A,0.215055659,7.702963498,258.1
5,SWH_WC_CoreC_T4_B,0.056022421,2.457535998,81.559
6,SWH_WC_CoreC_T4_A,0.254659696,8.850316198,280.644
7,SWH_WC_CoreB_T6_B,1.004397652,25.40705828,1092.034
8,SWH_WC_CoreB_T6_A,0.573604553,17.1010339,529.508
9,SWH_WC_CoreB_T5_B,0.417922445,12.01969108,481.735
10,SWH_WC_CoreB_T5_A,0.466698763,14.15029703,424.924
11,SWH_WC_CoreB_T4_B,0.419556213,12.89361905,401.663
12,SWH_WC_CoreB_T4_A,0.64981769,17.5378727,522.435
13,SWH_WC_CoreA_T6_B,0.506805094,14.58814545,684.068
14,SWH_WC_CoreA_T6_A,0.760641631,25.18823932,736.945
15,SWH_WC_CoreA_T5_B,0.469194626,13.33130572,608.674
16,SWH_WC_CoreA_T5_A,0.342356458,12.56554792,300.048
17,SWH_WC_CoreA_T4_B,0.588334075,18.19410211,605.168
18,SWH_TR_CoreC_T6_B,1.648885961,16.66449496,2048.209
19,SWH_TR_CoreC_T6_A,1.089357097,14.80641492,1183.282
20,SWH_TR_CoreC_T5_B,0.618337776,8.194911029,788.55
21,SWH_TR_CoreC_T5_A,2.047497799,24.31416733,2127.878
22,SWH_TR_CoreC_T4_B,1.669038197,21.09031223,1799.088
23,SWH_TR_CoreC_T4_A,1.453548229,18.52200706,1483.218
24,SWH_TR_CoreB_T6_B,1.024470026,11.74653371,1182.162
25,SWH_TR_CoreB_T6_A,2.290999912,22.56573163,2555.616
26,SWH_TR_CoreB_T5_B,1.804639564,18.24892797,1975.441
27,SWH_TR_CoreB_T5_A,1.912352058,21.90987667,1971.861
28,SWH_TR_CoreB_T4_B,1.949520726,22.29240438,2042.419
29,SWH_TR_CoreB_T4_A,2.493644903,25.51634737,2645.225
30,SWH_TR_CoreA_T6_B,2.131798281,22.78444571,2601.347
31,SWH_TR_CoreA_T6_A,2.363066712,27.26504157,2707.412
32,SWH_TR_CoreA_T5_B,2.057797314,27.1010049,2218.142
33,SWH_TR_CoreA_T5_A,1.250019677,18.35847778,1629.11
34,SWH_TR_CoreA_T4_B,0.896556443,12.07413511,898.951
35,SWH_UP_CoreC_T6_B,0.534683788,50.21463106,588.03
36,SWH_UP_CoreC_T6_A,0.411929471,36.49979836,591.755
37,SWH_UP_CoreC_T5_B,0.521318409,48.73933501,589.693
38,SWH_UP_CoreC_T5_A,0.449474407,47.59160564,463.452
39,SWH_UP_CoreC_T4_B,0.336627749,38.68482471,348.585
40,SWH_UP_CoreC_T4_A,0.332039347,37.64699227,414.244
41,SWH_UP_CoreB_T6_B,1.109866953,52.12657611,882.708
42,SWH_UP_CoreB_T6_A,1.093347162,50.37835237,1002.953
43,SWH_UP_CoreB_T5_B,1.167233414,45.62483178,1287.541
44,SWH_UP_CoreB_T5_A,0.798267451,39.01243866,665.139
45,SWH_UP_CoreB_T4_B,0.716841894,33.05649357,621.766
46,SWH_UP_CoreB_T4_A,0.790603164,36.28066477,768.855
47,SWH_UP_CoreA_T6_B,0.550769974,38.30257617,596.331
48,SWH_UP_CoreA_T5_B,0.43056363,40.37856379,397.313
49,SWH_UP_CoreA_T4_B,0.440088152,35.29706366,447.544
50,SWH_UP_CoreA_T6_A,0.578978769,44.69500555,456.143
51,SWH_UP_CoreA_T5_A,0.539618503,48.52048429,530.271
52,SWH_UP_CoreA_T0_A,0.052791032,0.053144156,65.457
53,SWH_WC_CoreA_T4_A,0.166031667,5.680812804,162.246
54,SWH_TR_CoreA_T4_A,1.973083473,26.60887716,1780.281
55,SWH_UP_CoreA_T4_A,0.38220199,30.2694972,321.388
