"","Sample Name","Peak #","Area 28","Area 29","Area 30","Del Value","ID2","samplemass","atom15Nexcess","spikeconc","spikevol","mass15Nadded","porewaterNO3","porewatervol","massambient","tracerdilratio","Fn","Fn1","Fn2","rawN28mass","rawN29mass","rawN30mass","blank29mass","blank30mass","correct29mass","correct30mass","correct29perg","correct30perg","MF15N","MFexcess","N2Nmassnmoles","excess29Nperg","excessN29pergperlp","excessN30pergperlp","tracerdilcorrectedN29","tracerdilcorrectedN30","corrected29N2","corrected30N2"
"1","GWI_WC_CoreC_T1_B",5,12.97,0.141,1.58,479.769,"GWI",1,99.9,1,0.1,100,0,0,0,99.9,0.999,1.001001001001,1.00200300400501,2.9933008181278,0.0324479530281518,0.364642659575583,0.0220095427486927,4.04586776805747e-05,0.010438410279459,0.364602200897903,0.010438410279459,0.364602200897903,0.00541093324565646,0.00174790034565646,3.3875483625535,0.0117349595087665,0.0117349595087665,0.364602200897903,0.0110160412138485,0.365332500566535,0.414203149640705,13.7365020213017
"2","GWI_WC_CoreB_T1_B",5,12.086,0.125,1.554,411.16,"GWI",1,99.9,1,0.1,100,0,0,0,99.9,0.999,1.001001001001,1.00200300400501,2.78928555804877,0.0287659158050991,0.358642210747124,0.0205094320478566,3.77011240129087e-05,0.00825648375724246,0.358604509623112,0.00825648375724246,0.358604509623112,0.00516135197631308,0.00149831907631308,3.17402513175066,0.00942767983127063,0.00942767983127063,0.358604509623112,0.00871847135643474,0.3593227958921,0.327814523001946,13.510537125543
"3","GWI_WC_CoreB_T1_A",5,12.117,0.124,1.811,393.619,"GWI",1,99.9,1,0.1,100,0,0,0,99.9,0.999,1.001001001001,1.00200300400501,2.79643993934114,0.0285357884786583,0.417954339551507,0.0205620377398543,3.77978255555531e-05,0.00797375073880402,0.417916541725952,0.00797375073880402,0.417916541725952,0.00509752238262725,0.00143448948262725,3.240203498101,0.00921484853773724,0.00921484853773724,0.417916541725952,0.00838656534988212,0.418753630232787,0.315334857155568,15.7451364967528
"4","GWI_WC_CoreA_T1_B",5,13.251,0.129,1.363,323.911,"GWI",1,99.9,1,0.1,100,0,0,0,99.9,0.999,1.001001001001,1.00200300400501,3.05815182274568,0.0296864251108622,0.314561990507291,0.0224863878922843,4.13352303735771e-05,0.00720003721857795,0.314520655276918,0.00720003721857795,0.314520655276918,0.00484378236482247,0.00118074946482247,3.39953886795496,0.00795993667298263,0.00795993667298263,0.314520655276918,0.00733760329474208,0.315150641409094,0.275893883882302,11.849664116982
"5","GWI_WC_CoreA_T1_A",5,14.043,0.17,1.915,647.136,"GWI",1,99.9,1,0.1,100,0,0,0,99.9,0.999,1.001001001001,1.00200300400501,3.24093472544092,0.0391216454949347,0.441956134865343,0.0238303784749338,4.38057988179113e-05,0.0152912670200009,0.441912329066525,0.0152912670200009,0.441912329066525,0.00601924479038539,0.00235621189038539,3.71890136758988,0.0173555998574887,0.0173555998574887,0.441912329066525,0.0164873778678561,0.442797481231507,0.61992540783139,16.6491852943047
"6","GWI_TR_CoreA_T1_A",5,13.682,0.118,1.84,177.133,"GWI",1,99.9,1,0.1,100,0,0,0,99.9,0.999,1.001001001001,1.00200300400501,3.15762080135887,0.0271550245200135,0.424647147860173,0.0232177767068322,4.26796937567943e-05,0.0039372478131813,0.424604468166416,0.0039372478131813,0.424604468166416,0.00430908093791697,0.00064604803791697,3.60637508613006,0.00462287033648332,0.00462287033648332,0.424604468166416,0.00377658792908436,0.425454952616697,0.141999706133572,15.9971062183878
