,Sample Name,Corrected 29N2 g-1,Corrected 30N2 g-1,Del Value
1,GWI_WC_CoreC_T1_B,0.41420315,13.73650202,479.769
2,GWI_WC_CoreB_T1_B,0.327814523,13.51053713,411.16
3,GWI_WC_CoreB_T1_A,0.315334857,15.7451365,393.619
4,GWI_WC_CoreA_T1_B,0.275893884,11.84966412,323.911
5,GWI_WC_CoreA_T1_A,0.619925408,16.64918529,647.136
6,GWI_TR_CoreA_T1_A,0.141999706,15.99710622,177.133
