Row,Identifier 1,Identifier 2,Method,Ref  Name,Rt,Peak Nr,Area 28,Ampl  28,Area 29,Ampl  29,Area 30,Ampl  30,d 15N/14N,AT% 15N/14N,Area All,rArea All,rArea 28,BGD 28,rArea 29,BGD 29,rArea 30,BGD 30,rR 29N2/28N2,rd 29N2/28N2,d 29N2/28N2,rR 30N2/28N2,rd 30N2/28N2,d 30N2/28N2
27,GWI_TR_CoreC_T1_B,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,34.9,1,85.3,4384,0.626,3218,0.052,981,-0.183,0.366405,85.978,165329,85300,21.4,62613,30.4,17416,791.8,0.7340385,-0.183,-0.183,0.2041682,,
27,GWI_TR_CoreC_T1_B,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,74.6,2,85.362,4388,0.627,3221,0.05,936,0.059,0.366494,86.039,164784,85362,21.5,62674,31.0,16748,915.1,0.7342161,0.059,0.059,0.1961943,,
27,GWI_TR_CoreC_T1_B,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,114.5,3,85.349,4387,0.627,3220,0.05,929,0,0.366472,86.025,164636,85349,21.5,62661,32.2,16626,966.6,0.7341729,0,0,0.1947995,,
27,GWI_TR_CoreC_T1_B,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,154.2,4,85.392,4392,0.627,3223,0.05,928,-0.343,0.366347,86.069,164713,85392,21.5,62671,33.3,16649,997.0,0.7339208,-0.343,-0.343,0.1949766,,
27,GWI_TR_CoreC_T1_B,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,351.3,5,16.598,1187,0.143,1028,1.53,36816,176.602,0.430913,18.271,540962,16598,20.8,14338,24.8,510026,773.6,0.8638291,176.602,176.602,30.7288978,,
27,GWI_TR_CoreC_T1_B,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,415.9,6,15.228,1091,0.132,944,1.404,33789,176.642,0.430928,16.764,496508,15228,22.5,13155,25.5,468124,778.8,0.8638589,176.642,176.642,30.7400982,,
26,GWI_TR_CoreC_T1_A,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,34.7,1,85.302,4385,0.626,3218,0.052,971,-0.058,0.366451,85.98,165215,85302,21.8,62602,27.5,17311,715.9,0.7338933,-0.058,-0.058,0.2029388,,
26,GWI_TR_CoreC_T1_A,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,74.6,2,85.34,4390,0.626,3221,0.05,929,-0.04,0.366457,86.017,164587,85340,21.8,62632,25.8,16615,822.0,0.7339061,-0.04,-0.04,0.1946863,,
26,GWI_TR_CoreC_T1_A,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,114.5,3,85.341,4385,0.626,3218,0.05,921,0,0.366472,86.017,164493,85341,21.8,62635,25.1,16518,861.0,0.7339358,0,0,0.1935491,,
26,GWI_TR_CoreC_T1_A,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,154.2,4,85.348,4387,0.626,3220,0.05,922,0.016,0.366478,86.024,164566,85348,21.8,62641,24.9,16578,885.2,0.7339472,0.016,0.016,0.1942427,,
26,GWI_TR_CoreC_T1_A,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,351.7,5,12.149,865,0.107,762,1.194,28674,197.838,0.438656,13.449,420790,12149,21.2,10680,23.4,397960,723.2,0.8791362,197.838,197.838,32.7572684,,
