Row,Identifier 1,Identifier 2,Method,Ref  Name,Rt,Peak Nr,Area 28,Ampl  28,Area 29,Ampl  29,Area 30,Ampl  30,d 15N/14N,AT% 15N/14N,Area All,rArea All,rArea 28,BGD 28,rArea 29,BGD 29,rArea 30,BGD 30,rR 29N2/28N2,rd 29N2/28N2,d 29N2/28N2,rR 30N2/28N2,rd 30N2/28N2,d 30N2/28N2
109,GWI_WC_CoreC_T3_B,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,34.7,1,83.927,4312,0.616,3166,0.041,770,0.378,0.36661,84.584,159179,83927,13.7,61614,16.9,13639,652.4,0.7341451,0.378,0.378,0.1625051,,
109,GWI_WC_CoreC_T3_B,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,74.6,2,83.949,4321,0.616,3171,0.039,734,0.107,0.366511,84.605,158631,83949,13.9,61614,18.3,13067,751.1,0.7339464,0.107,0.107,0.1556542,,
109,GWI_WC_CoreC_T3_B,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,114.5,3,84.054,4323,0.617,3173,0.039,729,0,0.366472,84.71,158735,84054,14.0,61685,17.6,12996,787.3,0.7338678,0,0,0.1546174,,
109,GWI_WC_CoreC_T3_B,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,154.2,4,84.071,4321,0.617,3172,0.039,729,0.253,0.366564,84.727,158803,84071,14.1,61712,17.3,13020,809.5,0.7340531,0.253,0.253,0.1548667,,
109,GWI_WC_CoreC_T3_B,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,352,5,3.533,600,0.047,799,0.866,48627,799.207,0.657434,4.445,296738,3533,13.6,4665,16.4,288540,638.4,1.32038,799.207,799.207,81.664782,,
109,GWI_WC_CoreC_T3_B,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,416.7,6,3.248,553,0.043,734,0.794,45916,794.552,0.655744,4.085,272275,3248,14.2,4278,16.3,264749,636.7,1.3169638,794.552,794.552,81.500894,,
108,GWI_WC_CoreC_T3_A,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,34.9,1,83.943,4321,0.616,3172,0.041,770,0.334,0.366594,84.6,159197,83943,13.7,61624,16.5,13629,641.0,0.7341203,0.334,0.334,0.162363,,
108,GWI_WC_CoreC_T3_A,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,74.6,2,83.976,4315,0.616,3167,0.039,734,0.145,0.366525,84.631,158695,83976,13.9,61637,17.7,13083,738.7,0.733982,0.145,0.145,0.1557904,,
108,GWI_WC_CoreC_T3_A,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,114.5,3,84.031,4320,0.617,3170,0.039,729,0,0.366472,84.686,158726,84031,14.0,61668,17.3,13027,775.3,0.7338753,0,0,0.1550235,,
108,GWI_WC_CoreC_T3_A,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,154.5,4,84.035,4322,0.617,3173,0.039,730,0.312,0.366586,84.691,158759,84035,14.0,61690,17.2,13035,797.9,0.7341042,0.312,0.312,0.1551112,,
108,GWI_WC_CoreC_T3_A,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,351.7,5,3.808,647,0.052,887,0.897,48631,850.303,0.675978,4.757,308085,3808,13.6,5171,16.5,299107,637.2,1.3578916,850.303,850.303,78.5480257,,
108,GWI_WC_CoreC_T3_A,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,416.5,6,3.49,594,0.047,814,0.833,48154,848.255,0.675235,4.37,285855,3490,14.3,4734,16.4,277631,637.6,1.3563891,848.255,848.255,79.5533704,,
107,GWI_WC_CoreC_T2_B,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,34.7,1,83.968,4318,0.616,3170,0.041,772,0.371,0.366608,84.626,159301,83968,13.8,61645,16.5,13688,643.8,0.7341454,0.371,0.371,0.1630093,,
107,GWI_WC_CoreC_T2_B,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,74.6,2,84.036,4324,0.617,3173,0.039,738,0.076,0.3665,84.692,158848,84036,14.0,61676,17.9,13136,741.1,0.7339288,0.076,0.076,0.1563174,,
107,GWI_WC_CoreC_T2_B,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,114.5,3,84.068,4330,0.617,3177,0.039,731,0,0.366472,84.724,158812,84068,14.1,61695,17.4,13049,777.8,0.7338729,0,0,0.1552173,,
107,GWI_WC_CoreC_T2_B,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,154.2,4,84.071,4327,0.617,3176,0.039,733,0.271,0.366571,84.727,158860,84071,14.2,61714,17.1,13075,799.5,0.7340718,0.271,0.271,0.1555271,,
107,GWI_WC_CoreC_T2_B,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,351.7,5,3.219,546,0.038,654,0.771,44499,617.847,0.591556,4.028,263944,3219,13.8,3822,16.5,256903,636.2,1.1872938,617.847,617.847,79.8071589,,
107,GWI_WC_CoreC_T2_B,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,416.5,6,2.97,505,0.035,603,0.706,40797,613.827,0.590095,3.711,241886,2970,14.4,3517,16.3,235399,633.7,1.1843441,613.827,613.827,79.259076,,
106,GWI_WC_CoreC_T2_A,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,33.9,1,84.015,4319,0.617,3170,0.041,775,0.298,0.366581,84.673,159415,84015,13.9,61674,16.3,13726,647.9,0.7340863,0.298,0.298,0.1633698,,
106,GWI_WC_CoreC_T2_A,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,74.6,2,84.101,4317,0.617,3168,0.04,739,0.097,0.366507,84.758,159012,84101,14.1,61725,17.3,13185,745.8,0.733939,0.097,0.097,0.1567803,,
106,GWI_WC_CoreC_T2_A,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,114.3,3,84.133,4331,0.617,3178,0.039,733,0,0.366472,84.789,158996,84133,14.2,61742,16.6,13121,781.7,0.7338679,0,0,0.1559547,,
106,GWI_WC_CoreC_T2_A,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,154.2,4,84.18,4328,0.618,3176,0.039,735,0.079,0.366501,84.837,159088,84180,14.2,61782,15.9,13126,803.4,0.7339262,0.079,0.079,0.1559257,,
106,GWI_WC_CoreC_T2_A,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,351.7,5,3.276,557,0.034,574,0.537,31004,397.514,0.511405,3.847,185596,3276,13.9,3360,15.1,178959,641.6,1.0255905,397.514,397.514,54.6225021,,
106,GWI_WC_CoreC_T2_A,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,416.5,6,2.963,503,0.03,519,0.486,28073,397.992,0.511579,3.479,168071,2963,14.1,3040,15.3,162068,633.3,1.0259412,397.992,397.992,54.7015564,,
105,GWI_WC_CoreB_T3_B,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,34.9,1,83.971,4319,0.616,3171,0.041,776,0.236,0.366558,84.629,159332,83971,13.7,61645,15.4,13715,668.9,0.7341286,0.236,0.236,0.1633331,,
105,GWI_WC_CoreB_T3_B,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,74.6,2,84.039,4321,0.617,3172,0.04,742,0.135,0.366521,84.696,158936,84039,13.8,61689,16.0,13207,769.8,0.7340541,0.135,0.135,0.157152,,
105,GWI_WC_CoreB_T3_B,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,114.5,3,84.101,4331,0.617,3179,0.039,736,0,0.366472,84.757,158965,84101,13.9,61726,16.4,13138,809.4,0.7339551,0,0,0.1562233,,
105,GWI_WC_CoreB_T3_B,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,154.2,4,84.107,4324,0.617,3174,0.039,736,0.207,0.366548,84.764,158987,84107,14.0,61743,16.5,13137,831.7,0.7341071,0.207,0.207,0.1561926,,
105,GWI_WC_CoreB_T3_B,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,351.5,5,3.275,558,0.035,602,0.846,48594,461.954,0.53486,4.156,288686,3275,13.7,3514,16.3,281897,662.6,1.0730087,461.954,461.954,86.0780239,,
105,GWI_WC_CoreB_T3_B,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,416.3,6,3.008,513,0.032,553,0.772,44668,459.316,0.5339,3.813,263613,3008,14.1,3222,15.9,257382,652.1,1.0710723,459.316,459.316,85.5540075,,
104,GWI_WC_CoreB_T3_A,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,34.1,1,84.189,4324,0.618,3174,0.041,780,0.304,0.366583,84.849,159809,84189,13.9,61804,16.5,13816,661.2,0.7341092,0.304,0.304,0.1641043,,
104,GWI_WC_CoreB_T3_A,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,74.6,2,84.134,4326,0.618,3175,0.04,744,0.111,0.366513,84.792,159143,84134,14.0,61752,17.7,13257,760.3,0.7339674,0.111,0.111,0.1575672,,
104,GWI_WC_CoreB_T3_A,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,114.5,3,84.199,4330,0.618,3178,0.04,737,0,0.366472,84.857,159166,84199,14.1,61793,17.2,13174,797.4,0.7338859,0,0,0.156463,,
104,GWI_WC_CoreB_T3_A,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,154.2,4,84.166,4328,0.618,3177,0.04,738,0.257,0.366566,84.823,159129,84166,14.2,61784,17.0,13179,819.4,0.7340743,0.257,0.257,0.1565862,,
104,GWI_WC_CoreB_T3_A,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,351.5,5,3.36,572,0.042,726,0.946,48619,718.42,0.628099,4.348,322873,3360,13.7,4237,16.3,315277,650.4,1.261124,718.42,718.42,93.8429084,,
104,GWI_WC_CoreB_T3_A,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,416.5,6,3.084,526,0.039,666,0.889,48617,714.177,0.626558,4.012,303406,3084,14.1,3879,16.0,296443,649.7,1.2580104,714.177,714.177,96.1346311,,
102,GWI_WC_CoreB_T2_B,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,34.9,1,84.014,4325,0.617,3175,0.041,776,0.333,0.366594,84.672,159406,84014,13.8,61678,16.6,13714,665.2,0.7341395,0.333,0.333,0.1632336,,
102,GWI_WC_CoreB_T2_B,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,74.6,2,84.094,4328,0.617,3176,0.04,741,0.111,0.366513,84.751,159016,84094,13.9,61723,17.8,13198,764.3,0.733977,0.111,0.111,0.1569485,,
