Row,Identifier 1,Identifier 2,Method,Ref  Name,Rt,Peak Nr,Area 28,Ampl  28,Area 29,Ampl  29,Area 30,Ampl  30,d 15N/14N,AT% 15N/14N,Area All,rArea All,rArea 28,BGD 28,rArea 29,BGD 29,rArea 30,BGD 30,rR 29N2/28N2,rd 29N2/28N2,d 29N2/28N2,rR 30N2/28N2,rd 30N2/28N2,d 30N2/28N2
4,STD_0_A,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,34.7,1,85.614,4404,0.629,3233,0.035,654,0.214,0.36655,86.278,160070,85614,12.6,62860,11.4,11596,238.6,0.7342224,0.214,0.214,0.1354429,,
4,STD_0_A,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,74.6,2,85.775,4412,0.63,3239,0.034,635,0.072,0.366498,86.438,160049,85775,12.7,62969,11.5,11306,328.9,0.7341176,0.072,0.072,0.1318152,,
4,STD_0_A,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,114.3,3,85.833,4411,0.63,3237,0.034,636,0,0.366472,86.497,160206,85833,12.7,63007,11.6,11367,372.6,0.7340651,0,0,0.1324339,,
4,STD_0_A,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,154.2,4,85.863,4417,0.63,3242,0.034,639,-0.029,0.366462,86.527,160286,85863,12.8,63027,11.6,11396,404.4,0.7340439,-0.029,-0.029,0.1327215,,
4,STD_0_A,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,352.8,5,5.388,367,0.039,269,0.002,41,-1.671,0.365862,5.43,9918,5388,12.7,3949,11.6,581,305.0,0.7328387,-1.671,-1.671,0.1077699,,
4,STD_0_A,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,416.1,6,3.91,263,0.029,192,0.001,30,-3.384,0.365236,3.94,7227,3910,13.7,2861,12.3,456,285.6,0.7315809,-3.384,-3.384,0.1165882,,
5,STD_0_B,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,34.7,1,86.173,4422,0.633,3246,0.037,691,0.18,0.366538,86.843,161691,86173,13.2,63259,11.9,12259,319.3,0.7340875,0.18,0.18,0.1422567,,
5,STD_0_B,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,74.6,2,86.092,4424,0.632,3247,0.036,665,0.03,0.366483,86.759,161120,86092,13.3,63190,12.0,11838,412.8,0.7339778,0.03,0.03,0.1375087,,
5,STD_0_B,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,114.3,3,86.129,4426,0.632,3249,0.036,664,0,0.366472,86.797,161213,86129,13.4,63215,12.1,11868,454.7,0.7339556,0,0,0.1377904,,
5,STD_0_B,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,154.2,4,86.116,4424,0.632,3247,0.036,665,-0.032,0.36646,86.783,161192,86116,13.4,63203,12.1,11873,483.6,0.7339322,-0.032,-0.032,0.1378768,,
5,STD_0_B,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,352.8,5,6.189,432,0.045,317,0.002,49,-1.305,0.365995,6.236,11416,6189,13.1,4536,12.0,691,372.9,0.7329975,-1.305,-1.305,0.11163,,
5,STD_0_B,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,415.7,6,4.026,272,0.029,199,0.001,31,-2.915,0.365408,4.057,7426,4026,14.2,2946,12.7,453,348.7,0.7318157,-2.915,-2.915,0.1125796,,
6,STD_5_A,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,34.7,1,86.156,4427,0.632,3249,0.038,712,0.143,0.366524,86.826,162011,86156,13.4,63239,12.1,12617,372.9,0.7340042,0.143,0.143,0.146443,,
6,STD_5_A,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,74.6,2,86.218,4431,0.633,3252,0.037,685,0.029,0.366483,86.887,161688,86218,13.5,63277,12.2,12193,467.8,0.7339207,0.029,0.029,0.1414165,,
6,STD_5_A,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,114.3,3,86.31,4435,0.633,3255,0.037,683,0,0.366472,86.98,161868,86310,13.6,63343,12.3,12216,509.4,0.7338991,0,0,0.1415361,,
6,STD_5_A,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,154.2,4,86.283,4427,0.633,3249,0.037,682,-0.02,0.366465,86.952,161804,86283,13.6,63321,12.3,12200,537.7,0.7338843,-0.02,-0.02,0.141391,,
6,STD_5_A,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,351.3,5,14.9,1054,0.109,774,0.006,137,0.085,0.366503,15.015,27887,14900,13.4,10936,12.3,2052,459.3,0.7339612,0.085,0.085,0.1377224,,
6,STD_5_A,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,415.7,6,13.581,960,0.1,704,0.006,125,-0.146,0.366419,13.686,25531,13581,15.0,9965,13.4,1985,424.5,0.7337919,-0.146,-0.146,0.1461603,,
7,STD_5_B,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,34.7,1,86.293,4438,0.633,3257,0.039,740,0.15,0.366527,86.966,162729,86293,13.4,63335,12.1,13100,427.1,0.7339562,0.15,0.15,0.1518088,,
7,STD_5_B,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,74.6,2,86.412,4437,0.634,3256,0.038,708,0.021,0.36648,87.084,162449,86412,13.5,63414,12.2,12622,523.8,0.733861,0.021,0.021,0.1460676,,
7,STD_5_B,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,114.5,3,86.396,4436,0.634,3256,0.038,705,0,0.366472,87.068,162380,86396,13.5,63401,12.2,12582,563.9,0.7338458,0,0,0.1456351,,
7,STD_5_B,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,154.2,4,86.455,4443,0.634,3260,0.038,706,-0.05,0.366454,87.128,162490,86455,13.5,63442,12.3,12593,591.1,0.733809,-0.05,-0.05,0.1456598,,
7,STD_5_B,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,351.3,5,14.883,1050,0.109,771,0.006,139,0.089,0.366505,14.999,27881,14883,13.4,10923,12.3,2075,509.2,0.7339114,0.089,0.089,0.1394259,,
7,STD_5_B,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,415.9,6,13.596,960,0.1,705,0.006,128,0.092,0.366506,13.702,25596,13596,14.7,9978,13.2,2022,470.1,0.7339132,0.092,0.092,0.1486892,,
8,STD_10_A,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,34.7,1,86.474,4446,0.635,3262,0.04,758,0.133,0.366521,87.149,163363,86474,13.3,63464,12.1,13426,466.9,0.7339085,0.133,0.133,0.1552558,,
8,STD_10_A,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,74.6,2,86.458,4438,0.634,3257,0.039,724,0.04,0.366487,87.131,162801,86458,13.4,63446,12.2,12897,564.5,0.7338407,0.04,0.04,0.1491754,,
8,STD_10_A,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,114.5,3,86.435,4440,0.634,3258,0.039,720,0,0.366472,87.107,162711,86435,13.5,63427,12.3,12850,604.3,0.733811,0,0,0.1486658,,
8,STD_10_A,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,154.2,4,86.472,4442,0.635,3260,0.039,720,-0.012,0.366468,87.145,162781,86472,13.5,63453,12.4,12857,630.7,0.7338021,-0.012,-0.012,0.1486793,,
8,STD_10_A,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,351.3,5,28.074,1996,0.206,1466,0.013,289,0.565,0.366678,28.294,53181,28074,13.4,20613,12.4,4494,583.9,0.7342258,0.565,0.565,0.1600859,,
8,STD_10_A,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,415.7,6,25.749,1833,0.189,1346,0.013,261,0.557,0.366675,25.951,48865,25749,16.1,18906,14.3,4210,538.8,0.7342199,0.557,0.557,0.1635162,,
9,STD_10_B,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,34.9,1,86.474,4441,0.635,3259,0.041,779,0.132,0.36652,87.15,163715,86474,13.5,63460,12.3,13781,514.3,0.7338608,0.132,0.132,0.1593672,,
9,STD_10_B,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,74.6,2,86.512,4440,0.635,3258,0.04,743,0.035,0.366485,87.187,163254,86512,13.6,63482,12.4,13260,612.1,0.7337896,0.035,0.035,0.1532772,,
9,STD_10_B,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,114.5,3,86.537,4449,0.635,3265,0.04,741,0,0.366472,87.211,163242,86537,13.6,63497,12.4,13207,650.5,0.7337636,0,0,0.1526225,,
9,STD_10_B,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,154.2,4,86.543,4445,0.635,3261,0.04,739,0.003,0.366473,87.218,163259,86543,13.6,63502,12.6,13214,674.9,0.7337655,0.003,0.003,0.1526817,,
9,STD_10_B,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,350.9,5,27.705,1967,0.203,1444,0.013,289,0.641,0.366706,27.922,52541,27705,13.4,20342,12.6,4495,626.6,0.734234,0.641,0.641,0.1622292,,
9,STD_10_B,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,415.7,6,25.439,1809,0.187,1329,0.013,263,0.62,0.366698,25.638,48332,25439,15.9,18677,14.3,4216,577.6,0.7342182,0.62,0.62,0.1657486,,
10,STD_20_A,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,34.7,1,86.494,4443,0.635,3260,0.042,794,0.133,0.366521,87.171,164049,86494,13.9,63473,12.9,14082,548.1,0.7338406,0.133,0.133,0.1628108,,
10,STD_20_A,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,74.6,2,86.608,4446,0.636,3262,0.041,758,0.038,0.366486,87.284,163678,86608,14.0,63550,12.9,13520,646.9,0.7337705,0.038,0.038,0.1561106,,
10,STD_20_A,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,114.5,3,86.574,4453,0.635,3267,0.04,754,0,0.366472,87.25,163548,86574,14.0,63523,12.9,13451,684.5,0.7337428,0,0,0.1553636,,
10,STD_20_A,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,154.2,4,86.695,4453,0.636,3267,0.04,753,0.008,0.366475,87.372,163763,86695,14.1,63612,13.0,13455,709.8,0.7337484,0.008,0.008,0.1552044,,
10,STD_20_A,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,350.9,5,56.361,4029,0.414,2958,0.031,648,0.841,0.366779,56.806,108236,56361,13.9,41389,13.1,10487,705.1,0.7343595,0.841,0.841,0.1860605,,
10,STD_20_A,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,415.3,6,51.044,3656,0.375,2684,0.028,566,0.831,0.366775,51.446,97812,51044,18.5,37484,16.3,9284,659.7,0.7343525,0.831,0.831,0.1818758,,
11,STD_20_B,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,34.9,1,86.578,4447,0.635,3263,0.043,818,0.117,0.366515,87.257,164589,86578,14.3,63530,13.2,14481,597.1,0.7337936,0.117,0.117,0.1672657,,
11,STD_20_B,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,74.6,2,86.69,4451,0.636,3266,0.042,781,0.035,0.366485,87.367,164226,86690,14.3,63607,13.2,13929,694.7,0.7337335,0.035,0.035,0.1606777,,
11,STD_20_B,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,114.5,3,86.722,4455,0.636,3268,0.041,774,0,0.366472,87.4,164183,86722,14.3,63629,13.1,13832,731.6,0.7337081,0,0,0.1594919,,
11,STD_20_B,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,154.2,4,86.625,4450,0.636,3265,0.041,772,-0.005,0.36647,87.302,163976,86625,14.3,63557,13.3,13794,753.9,0.7337045,-0.005,-0.005,0.1592367,,
11,STD_20_B,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,350.9,5,58.216,4168,0.427,3060,0.033,686,0.813,0.366769,58.677,112041,58216,14.1,42748,13.3,11076,748.7,0.7343049,0.813,0.813,0.1902628,,
11,STD_20_B,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,415.3,6,52.111,3738,0.383,2744,0.029,591,0.841,0.366779,52.523,100041,52111,19.0,38266,16.7,9664,700.0,0.7343248,0.841,0.841,0.1854441,,
12,STD_30_A,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,34.7,1,86.623,4452,0.636,3266,0.044,833,0.097,0.366507,87.303,164976,86623,14.2,63560,13.3,14792,630.4,0.7337569,0.097,0.097,0.1707626,,
12,STD_30_A,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,74.6,2,86.701,4450,0.636,3264,0.042,793,0.017,0.366478,87.38,164470,86701,14.2,63612,13.2,14157,729.0,0.7336983,0.017,0.017,0.1632833,,
12,STD_30_A,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,114.5,3,86.74,4458,0.636,3270,0.042,787,0,0.366472,87.418,164450,86740,14.2,63640,13.1,14071,764.3,0.7336857,0,0,0.1622191,,
12,STD_30_A,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,154.2,4,86.614,4452,0.635,3265,0.042,785,-0.008,0.366469,87.291,164196,86614,14.2,63547,13.3,14035,785.2,0.7336799,-0.008,-0.008,0.1620386,,
12,STD_30_A,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,350.5,5,80.188,5731,0.589,4208,0.049,986,0.9,0.366801,80.826,155329,80188,14.0,58886,13.3,16255,804.5,0.7343461,0.9,0.9,0.2027079,,
