Row,Identifier 1,Identifier 2,Method,Ref  Name,Rt,Peak Nr,Area 28,Ampl  28,Area 29,Ampl  29,Area 30,Ampl  30,d 15N/14N,AT% 15N/14N,Area All,rArea All,rArea 28,BGD 28,rArea 29,BGD 29,rArea 30,BGD 30,rR 29N2/28N2,rd 29N2/28N2,d 29N2/28N2,rR 30N2/28N2,rd 30N2/28N2,d 30N2/28N2
38,STD_30_B,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,34.7,1,88.29,4546,0.648,3336,0.053,997,0.144,0.366525,88.991,170836,88290,15.5,64807,18.2,17739,814.8,0.7340294,0.144,0.144,0.2009192,,
38,STD_30_B,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,74.6,2,88.431,4544,0.649,3333,0.051,943,-0.314,0.366357,89.13,170220,88431,15.6,64881,18.8,16908,920.8,0.7336934,-0.314,-0.314,0.1912041,,
38,STD_30_B,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,114.3,3,88.345,4544,0.648,3334,0.05,935,0,0.366472,89.044,169971,88345,15.5,64839,18.4,16787,952.3,0.7339238,0,0,0.1900141,,
38,STD_30_B,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,154.2,4,88.294,4537,0.648,3330,0.05,929,-0.118,0.366429,88.992,169727,88294,15.5,64794,19.7,16639,972.0,0.7338374,-0.118,-0.118,0.1884489,,
38,STD_30_B,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,352.6,5,74.417,5227,0.546,3838,0.051,1055,0.292,0.366579,75.015,146143,74417,15.0,54633,17.1,17093,1016.8,0.7341384,0.292,0.292,0.2296922,,
38,STD_30_B,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,416.7,6,64.325,4558,0.472,3347,0.043,872,0.517,0.366661,64.84,125913,64325,20.9,47234,20.7,14355,940.1,0.7343034,0.517,0.517,0.2231656,,
37,STD_30_A,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,34.7,1,88.351,4540,0.649,3332,0.053,985,0.197,0.366544,89.052,170762,88351,15.4,64854,18.1,17558,794.2,0.7340479,0.197,0.197,0.19873,,
37,STD_30_A,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,74.6,2,88.331,4538,0.648,3329,0.05,932,-0.232,0.366387,89.029,169864,88331,15.4,64811,18.6,16722,900.1,0.7337326,-0.232,-0.232,0.1893095,,
37,STD_30_A,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,114.3,3,88.354,4542,0.648,3333,0.05,926,0,0.366472,89.053,169821,88354,15.4,64844,18.2,16623,933.2,0.7339031,0,0,0.1881391,,
37,STD_30_A,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,154.2,4,88.318,4543,0.648,3334,0.05,922,-0.074,0.366445,89.016,169650,88318,15.4,64812,19.2,16521,953.8,0.7338484,-0.074,-0.074,0.1870584,,
