Row,Identifier 1,Identifier 2,Method,Ref  Name,Rt,Peak Nr,Area 28,Ampl  28,Area 29,Ampl  29,Area 30,Ampl  30,d 15N/14N,AT% 15N/14N,Area All,rArea All,rArea 28,BGD 28,rArea 29,BGD 29,rArea 30,BGD 30,rR 29N2/28N2,rd 29N2/28N2,d 29N2/28N2,rR 30N2/28N2,rd 30N2/28N2,d 30N2/28N2
90,SWH_WC_CoreC_T3_B,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,34.9,1,82.81,4255,0.608,3123,0.045,846,-0.251,0.36638,83.463,158579,82810,17.2,60799,28.1,14970,676.0,0.7341966,-0.251,-0.251,0.1807786,,
90,SWH_WC_CoreC_T3_B,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,74.6,2,82.873,4264,0.609,3131,0.043,809,-0.098,0.366436,83.525,158173,82873,17.4,60855,26.3,14445,771.9,0.7343089,-0.098,-0.098,0.1743047,,
90,SWH_WC_CoreC_T3_B,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,114.5,3,82.835,4263,0.608,3130,0.043,803,0,0.366472,83.487,158029,82835,17.4,60833,27.8,14361,808.6,0.7343807,0,0,0.1733681,,
90,SWH_WC_CoreC_T3_B,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,154.2,4,82.883,4260,0.609,3129,0.043,805,0.024,0.366481,83.535,158149,82883,17.4,60869,28.9,14397,830.6,0.7343983,0.024,0.024,0.1736981,,
90,SWH_WC_CoreC_T3_B,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,353.2,5,9.239,660,0.078,557,0.35,8438,145.075,0.419415,9.667,133662,9239,17.0,7769,22.0,116654,666.2,0.8409211,145.075,145.075,12.6264047,,
90,SWH_WC_CoreC_T3_B,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,417.8,6,8.528,611,0.072,514,0.32,7740,143.927,0.418996,8.92,122505,8528,18.4,7164,22.4,106814,661.2,0.840078,143.927,143.927,12.5255342,,
89,SWH_WC_CoreC_T2_B,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,34.9,1,82.842,4261,0.608,3128,0.045,850,-0.107,0.366433,83.496,158746,82842,17.4,60830,28.1,15074,676.2,0.734287,-0.107,-0.107,0.1819553,,
89,SWH_WC_CoreC_T2_B,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,74.6,2,82.904,4252,0.609,3123,0.044,813,0.155,0.366528,83.557,158323,82904,17.5,60891,27.1,14528,773.4,0.7344794,0.155,0.155,0.1752325,,
89,SWH_WC_CoreC_T2_B,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,114.5,3,82.873,4265,0.609,3132,0.043,807,0,0.366472,83.525,158156,82873,17.6,60859,29.8,14423,811.3,0.7343659,0,0,0.1740397,,
89,SWH_WC_CoreC_T2_B,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,154.2,4,82.872,4264,0.609,3131,0.043,807,0.027,0.366482,83.524,158175,82872,17.6,60860,31.5,14444,834.7,0.7343858,0.027,0.027,0.1742924,,
89,SWH_WC_CoreC_T2_B,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,353.2,5,10.047,717,0.081,578,0.232,5575,95.881,0.401469,10.36,95519,10047,17.2,8085,22.9,77387,672.5,0.8047776,95.881,95.881,7.7027723,,
89,SWH_WC_CoreC_T2_B,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,417.8,6,9.281,664,0.075,535,0.213,5130,95.556,0.40135,9.569,87829,9281,18.1,7467,22.9,71081,665.5,0.8045391,95.556,95.556,7.6585946,,
88,SWH_WC_CoreC_T1_B,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,34.9,1,82.772,4264,0.608,3130,0.045,851,-0.229,0.366389,83.425,158643,82772,17.6,60766,30.8,15105,724.0,0.734133,-0.229,-0.229,0.1824956,,
88,SWH_WC_CoreC_T1_B,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,74.6,2,82.854,4260,0.609,3129,0.044,813,0.24,0.36656,83.506,158242,82854,17.7,60855,29.3,14533,811.4,0.7344768,0.24,0.24,0.1754066,,
88,SWH_WC_CoreC_T1_B,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,114.5,3,82.802,4252,0.608,3122,0.043,805,0,0.366472,83.453,158040,82802,17.8,60801,30.9,14437,840.2,0.7343009,0,0,0.1743578,,
88,SWH_WC_CoreC_T1_B,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,154.2,4,82.855,4256,0.608,3125,0.043,808,-0.071,0.366446,83.507,158169,82855,17.8,60836,31.9,14477,855.0,0.7342485,-0.071,-0.071,0.1747324,,
