"Site","Plot","TIMESTAMP","Instrument","Instrument_ID","Sensor_ID","Location","Value","research_name","ID","F_OOB","F_OOS"
"GCW","TR","2022-09-30 16:30:00","Sapflow","B","05",,0.677,"sapflow_2.5cm","9ed8628ef6292c3e",0,0
"GCW","TR","2022-09-30 16:30:00","Sapflow","B","06",,0.677,"sapflow_2.5cm","784a86ccf7bf8173",0,0
"GCW","TR","2022-09-30 16:30:00","TEROS12","B",,,13.34,"battery_voltage","3d9ed51041ba777d",1,0
"GCW","TR","2022-09-30 16:30:00","TEROS12","B","1",,,"soil_EC_10cm","ce7a6c242bdf2b5f",,0
"GCW","TR","2022-09-30 16:30:00","TEROS12","B","2",,,"soil_EC_10cm","c1525c74711b3d8e",,0
"GCW","TR","2022-09-30 16:30:00","TEROS12","B","3",,,"soil_EC_10cm","07d717c04d80d9bc",,0
"GCW","TR","2022-09-30 16:30:00","TEROS12","B","4",,,"soil_EC_10cm","811bec20a5ee7c74",,0
"GCW","TR","2022-09-30 16:30:00","TEROS12","B","5",,,"soil_EC_30cm","7c4c3187702fb5f9",,0
"GCW","TR","2022-09-30 16:30:00","TEROS12","B","6",,,"soil_EC_30cm","66fe9a4bf755a5e8",,0
"GCW","TR","2022-09-30 16:30:00","TEROS12","B","1",,,"soil_temp_10cm","15bbd1295c338f84",,0
"GCW","TR","2022-09-30 16:30:00","TEROS12","B","2",,,"soil_temp_10cm","b4b4c7492605c279",,0
"GCW","TR","2022-09-30 16:30:00","TEROS12","B","3",,,"soil_temp_10cm","8ab57cb384f5bf02",,0
"GCW","TR","2022-09-30 16:30:00","TEROS12","B","4",,,"soil_temp_10cm","79a27e39d81676de",,0
"GCW","TR","2022-09-30 16:30:00","TEROS12","B","5",,,"soil_temp_30cm","beacecff5975304d",,0
"GCW","TR","2022-09-30 16:30:00","TEROS12","B","6",,,"soil_temp_30cm","f517629e68ebba9a",,0
"GCW","TR","2022-09-30 16:30:00","TEROS12","B","1",,,"soil_vwc_10cm","d16b1a3d7c446232",,0
"GCW","TR","2022-09-30 16:30:00","TEROS12","B","2",,,"soil_vwc_10cm","dd52f77e82a291b5",,0
"GCW","TR","2022-09-30 16:30:00","TEROS12","B","3",,,"soil_vwc_10cm","180f251f7ce6f820",,0
"GCW","TR","2022-09-30 16:30:00","TEROS12","B","4",,,"soil_vwc_10cm","a2924d329a682da6",,0
"GCW","TR","2022-09-30 16:30:00","TEROS12","B","5",,,"soil_vwc_30cm","f0cb5ccfde28ab7d",,0
"GCW","TR","2022-09-30 16:30:00","TEROS12","B","6",,,"soil_vwc_30cm","614d56ed715e8ab3",,0
"GCW","TR","2022-09-30 16:30:00","AquaTROLL600","B",,,,"gw_act_cond","fc63e308ef388cea",,0
"GCW","TR","2022-09-30 16:30:00","AquaTROLL600","B",,,,"gw_battery","e77d47c5eea90189",,0
"GCW","TR","2022-09-30 16:30:00","AquaTROLL600","B",,,,"gw_density","b6e331a31ebee69f",,0
"GCW","TR","2022-09-30 16:30:00","AquaTROLL600","B",,,,"gw_perc_sat","5b582ec3388e778a",,0
"GCW","TR","2022-09-30 16:30:00","AquaTROLL600","B",,,,"gw_ph","ec7c9bde377e66fa",,0
"GCW","TR","2022-09-30 16:30:00","AquaTROLL600","B",,,,"gw_ph_mv","771328e05e11167c",,0
"GCW","TR","2022-09-30 16:30:00","AquaTROLL600","B",,,,"gw_ph_orp","a5e52b6db8675c8f",,0
"GCW","TR","2022-09-30 16:30:00","AquaTROLL600","B",,,,"gw_pressure","e6a79d7b358f486c",,0
"GCW","TR","2022-09-30 16:30:00","AquaTROLL600","B",,,,"gw_rdo_conc","277520d36311e69e",,0
"GCW","TR","2022-09-30 16:30:00","AquaTROLL600","B",,,,"gw_salinity","9503e6f76edaca8d",,0
"GCW","TR","2022-09-30 16:30:00","AquaTROLL600","B",,,,"gw_spec_cond","a2a50c7c45ef7dd5",,0
"GCW","TR","2022-09-30 16:30:00","AquaTROLL600","B",,,,"gw_temperature","474ae151b97de030",,0
"GCW","TR","2022-09-30 16:30:00","AquaTROLL600","B",,,,"gw_voltage_ext","4a3cb3df4bdad22f",,0
