Sample Name,Hours,Corrected 29N2 g-1,Corrected 30N2 g-1,Del Value
Gcrew_TR_CoreA_T0_A,0,0.056098875,0.08130013,37.722
Gcrew_TR_CoreA_T0_B,0,0.066346492,0.128341313,32.827
Gcrew_TR_CoreA_T1_A,2,0.162443226,23.72775281,136.263
Gcrew_TR_CoreA_T1_B,2,0.149072404,25.36000781,95.43
Gcrew_TR_CoreA_T2_A,4,0.159949581,31.90665208,58.948
Gcrew_TR_CoreB_T0_A,0,0.236226875,0.140937039,138.123
Gcrew_TR_CoreB_T0_B,0,0.172814966,0.116766105,96.438
Gcrew_TR_CoreB_T1_A,2,0.317233068,18.35965941,239.558
Gcrew_TR_CoreB_T1_B,2,0.234824194,25.02478617,186.002
Gcrew_TR_CoreB_T2_A,4,0.323404202,54.41454692,168.673
Gcrew_TR_CoreB_T2_B,4,0.224351322,39.81034807,129.476
Gcrew_TR_CoreC_T0_A,0,0.03380924,0.179263031,21.474
Gcrew_TR_CoreC_T0_B,0,0.024318448,0.215808188,16.113
Gcrew_TR_CoreC_T1_A,2,0.108661349,16.88249259,100.671
Gcrew_TR_CoreC_T1_B,2,0.116557989,17.74490043,104.707
Gcrew_TR_CoreC_T2_A,4,0.147320009,24.6827314,110.888
Gcrew_TR_CoreC_T2_B,4,0.121388947,25.72371815,78.201
Gcrew_UP_CoreA_T0_A,0,-0.000286882,0.116799381,-0.039
Gcrew_UP_CoreA_T0_B,0,0.001068678,0.128508667,0.675
Gcrew_UP_CoreA_T1_A,2,0.022507935,0.140541298,11.826
Gcrew_UP_CoreA_T1_B,2,0.038822388,0.093627863,29.555
Gcrew_UP_CoreA_T2_A,4,0.054777005,0.105759998,43.864
Gcrew_UP_CoreA_T2_B,4,0.05709022,0.129541197,41.504
Gcrew_UP_CoreA_T3_A,6,0.07844238,0.117688743,60.662
Gcrew_UP_CoreA_T3_B,6,0.055688667,0.117690366,43.145
Gcrew_UP_CoreA_T4_A,10,0.084928137,0.129885158,71.22
Gcrew_UP_CoreA_T4_B,10,0.087475647,0.141719594,68.001
Gcrew_UP_CoreB_T0_A,0,-0.002484259,0.082380002,-1.631
Gcrew_UP_CoreB_T0_B,0,0.000668693,0.130236674,0.5
Gcrew_UP_CoreB_T1_A,2,0.033169931,0.106652972,23.142
Gcrew_UP_CoreB_T1_B,2,0.02255379,0.130335188,12.863
Gcrew_UP_CoreB_T2_A,4,0.056111631,0.106835386,41.91
Gcrew_UP_CoreB_T2_B,4,0.052985732,0.130607085,32.742
Gcrew_UP_CoreB_T3_A,6,0.088406942,0.130941046,61.32
Gcrew_UP_CoreB_T3_B,6,0.04559147,0.45902733,33.431
Gcrew_UP_CoreB_T4_A,10,0.134513016,0.143152976,95.519
Gcrew_UP_CoreB_T4_B,10,0.108752977,0.155486242,83.18
Gcrew_UP_CoreC_T0_A,0,-0.004550521,0.130537798,-2.588
Gcrew_UP_CoreC_T0_B,0,-0.006803849,0.118475116,-4.069
Gcrew_UP_CoreC_T1_A,2,0.456823792,3.969812087,353.089
Gcrew_UP_CoreC_T1_B,2,0.249634232,2.256678992,170.309
Gcrew_UP_CoreC_T2_A,4,0.088669867,0.859775557,62.058
Gcrew_UP_CoreC_T2_B,4,0.324949888,3.252667877,213.511
Gcrew_UP_CoreC_T3_A,6,0.466483593,5.365887351,265.305
Gcrew_UP_CoreC_T3_B,6,0.283211121,2.681570643,176.009
Gcrew_UP_CoreC_T4_A,10,0.298516879,2.657490267,199.392
Gcrew_UP_CoreC_T4_B,10,0.531748448,4.382424819,352.261
Gcrew_WC_CoreA_T0_A,0,0.001556394,0.140502665,0.935
Gcrew_WC_CoreA_T0_B,0,0.011268571,0.188601863,6.078
Gcrew_WC_CoreA_T1_A,2,0.117481379,1.640949795,51.599
Gcrew_WC_CoreA_T1_B,2,0.063260557,1.147807994,23.852
Gcrew_WC_CoreA_T2_A,4,0.103112037,1.60668614,76.557
Gcrew_WC_CoreA_T2_B,4,0.225562414,5.101496965,174.528
