"","Site","Zone","mean","std","se"
"1","GWI","TR",4.75163057516667,0.653267744962417,0.377164308406952
"2","GWI","UP",0.928666747977478,0.177650433516608,0.102566525612468
"3","GWI","WC",2.23668368625,0.606988162892198,0.350444779240727
"4","Gcrew","TR",0.563303018166666,1.41266881423984,0.81560472017716
"5","Gcrew","UP",0.592468951630631,0.216293552228691,0.124877140603215
"6","Gcrew","WC",2.71260481591667,1.19653432727718,0.69081941594811
"7","MSM","TR",1.749173394,0.748327793704297,0.432047253137255
"8","MSM","UP",1.16423277355631,0.957850282530312,0.553015118462235
"9","MSM","WC",2.26146452933333,1.61493835412512,0.932385093478788
"10","SWH","TR",4.89151772459047,0.82088655224206,0.473939071911097
"11","SWH","UP",0.36513299533979,0.157444350244803,0.0909005379962226
"12","SWH","WC",2.97060041140597,0.945781143890531,0.54604699801967
